Operating condition,Anode voltage (V),Total flow rate (mg/s),Anode-cathode flow ratio,Background pressure (Torr),Anode current (A),Thrust (mN),Thrust relative uncertainty,Cathode coupling voltage (V),Cathode coupling voltage absolute uncertainty (V),Radial position from thruster exit (m),Angular position from thruster centerline (deg),Ion current density (mA/cm^2),Ion current density relative uncertainty
1,300,5.627,12,1.67E-06,4.5,80.302,0.009,31.2,0.3,1,-10,0.6081,0.2
1,300,5.627,12,1.67E-06,4.5,80.302,0.009,31.2,0.3,1,-5,0.7646,0.2
1,300,5.627,12,1.67E-06,4.5,80.302,0.009,31.2,0.3,1,0,0.8068,0.2
1,300,5.627,12,1.67E-06,4.5,80.302,0.009,31.2,0.3,1,5,0.7282,0.2
1,300,5.627,12,1.67E-06,4.5,80.302,0.009,31.2,0.3,1,10,0.5359,0.2
1,300,5.627,12,1.67E-06,4.5,80.302,0.009,31.2,0.3,1,15,0.3445,0.2
1,300,5.627,12,1.67E-06,4.5,80.302,0.009,31.2,0.3,1,20,0.2276,0.2
1,300,5.627,12,1.67E-06,4.5,80.302,0.009,31.2,0.3,1,25,0.163,0.2
1,300,5.627,12,1.67E-06,4.5,80.302,0.009,31.2,0.3,1,30,0.12,0.2
1,300,5.627,12,1.67E-06,4.5,80.302,0.009,31.2,0.3,1,35,0.08833,0.2
1,300,5.627,12,1.67E-06,4.5,80.302,0.009,31.2,0.3,1,40,0.0627,0.2
1,300,5.627,12,1.67E-06,4.5,80.302,0.009,31.2,0.3,1,45,0.04613,0.2
1,300,5.627,12,1.67E-06,4.5,80.302,0.009,31.2,0.3,1,50,0.03276,0.2
1,300,5.627,12,1.67E-06,4.5,80.302,0.009,31.2,0.3,1,55,0.02412,0.2
1,300,5.627,12,1.67E-06,4.5,80.302,0.009,31.2,0.3,1,60,0.0179,0.2
1,300,5.627,12,1.67E-06,4.5,80.302,0.009,31.2,0.3,1,65,0.01456,0.2
1,300,5.627,12,1.67E-06,4.5,80.302,0.009,31.2,0.3,1,70,0.01271,0.2
1,300,5.627,12,1.67E-06,4.5,80.302,0.009,31.2,0.3,1,75,0.01015,0.2
1,300,5.627,12,1.67E-06,4.5,80.302,0.009,31.2,0.3,1,80,0.00644,0.2
1,300,5.627,12,1.67E-06,4.5,80.302,0.009,31.2,0.3,1,85,0.004793,0.2
1,300,5.627,12,1.67E-06,4.5,80.302,0.009,31.2,0.3,1,90,0.003665,0.2
1,300,5.627,12,1.67E-06,4.5,80.302,0.009,31.2,0.3,1,95,0.002879,0.2
1,300,5.627,12,1.67E-06,4.5,80.302,0.009,31.2,0.3,1,100,0.002443,0.2
1,300,5.627,12,1.67E-06,4.5,80.302,0.009,31.2,0.3,1,105,0.001983,0.2
1,300,5.627,12,1.67E-06,4.5,80.302,0.009,31.2,0.3,1,110,0.001595,0.2
1,300,5.627,12,1.67E-06,4.5,80.302,0.009,31.2,0.3,1,115,0.001276,0.2
1,300,5.627,12,1.67E-06,4.5,80.302,0.009,31.2,0.3,1,120,0.001047,0.2
1,300,5.627,12,1.67E-06,4.5,80.302,0.009,31.2,0.3,1,125,0.0009226,0.2
